road,Accidents
"(9822921, 10260029642, 0)",2
"(9823004, 358466153, 0)",1
"(9823012, 373299629, 0)",1
"(9823016, 9823012, 0)",1
"(9823068, 9823073, 0)",1
"(9823073, 370191920, 0)",1
"(9823138, 52162260, 0)",3
"(9823138, 8674727247, 0)",1
"(9823212, 304904881, 0)",3
"(9823212, 395469503, 0)",2
"(9823212, 1790247699, 0)",2
"(9823983, 245504889, 0)",1
"(9823983, 11652687674, 0)",1
"(9824397, 247963399, 0)",1
"(9824424, 1296600779, 0)",1
"(9831544, 86030774, 0)",1
"(9831544, 2302492475, 0)",2
"(9831976, 86031501, 0)",2
"(9832007, 9832011, 0)",1
"(9832011, 9832007, 0)",1
"(9832042, 1707465438, 0)",1
"(9832055, 26668075, 0)",1
"(9832055, 30860552, 0)",1
"(9832061, 9832055, 0)",1
"(9832061, 30860552, 0)",2
"(9832063, 9832061, 0)",2
"(9832068, 6052986203, 0)",1
"(9832072, 6052986203, 0)",2
"(9832088, 393344781, 0)",1
"(9832093, 26665326, 0)",1
"(9832102, 26665075, 0)",1
"(9832102, 5718804085, 0)",1
"(9832105, 5922486043, 0)",1
"(9832119, 9832122, 0)",3
"(9832119, 1596692807, 0)",1
"(9832122, 775713185, 0)",2
"(9832122, 1824821760, 0)",2
"(9832148, 1591204777, 0)",1
"(9832149, 921219550, 0)",1
"(9834932, 9834924, 0)",1
"(9834942, 11800270652, 0)",1
"(9835193, 6178174270, 0)",1
"(10015749, 10015788, 0)",3
"(10015916, 1599380454, 0)",2
"(10383919, 6980115, 0)",4
"(10383919, 60039612, 0)",2
"(10383950, 1647076730, 0)",3
"(10383987, 10383950, 0)",7
"(10383987, 10383962, 0)",4
"(10384020, 452002999, 0)",1
"(10384020, 452003063, 0)",2
"(10384150, 1978612527, 0)",2
"(10385899, 10385902, 0)",2
"(10386114, 21122782, 0)",6
"(10386114, 11005206545, 0)",4
"(10388513, 2020515638, 0)",2
"(10388520, 58779860, 0)",2
"(10388520, 2020515638, 0)",1
"(10388541, 58779895, 0)",1
"(10388557, 29059164, 0)",6
"(10388642, 1080047585, 0)",1
"(10388662, 11216865, 0)",2
"(10388675, 3864703440, 0)",1
"(10388749, 287423810, 0)",2
"(10388768, 287424162, 0)",1
"(10388814, 258337487, 0)",1
"(10388901, 1102678817, 0)",1
"(10389107, 287424417, 0)",2
"(10389317, 1943729385, 0)",2
"(10389317, 3883779000, 0)",1
"(10389322, 937018602, 0)",1
"(10389396, 1162109884, 0)",1
"(10389396, 1986238525, 0)",2
"(10390130, 304899184, 0)",2
"(10390130, 3991313242, 0)",3
"(10390138, 921304609, 0)",1
"(10390167, 49510970, 0)",1
"(10390167, 304898229, 0)",1
"(10390167, 304899163, 0)",1
"(10390215, 59814523, 0)",1
"(10390215, 3097097793, 0)",1
"(10390223, 687077612, 0)",6
"(10390223, 1165979913, 0)",1
"(10390285, 51401603, 0)",1
"(10390289, 10390285, 0)",2
"(10390289, 313102489, 0)",2
"(10390346, 301016206, 0)",9
"(10390371, 3097097794, 0)",1
"(10390436, 4401369310, 0)",3
"(10437513, 248494890, 0)",1
